"Protocol","Sheet","Data Set","Input Gate","X Parameter","Y Parameter","Gate","Number","%Total","%Gated","X-Med","X-AMean","X-Mode","X-Stdev","X-CV","HP X-CV","X-Min","X-Max","X-GMean","Y-Med","Y-AMean","Y-Mode","Y-Stdev","Y-CV","HP Y-CV","Y-Min","Y-Max","Y-GMean","Logic"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"All","415205",,,,,,,,,,,,,,,,,,,,,"Ungated"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"cd4blood","5014",,,,,,,,,,,,,,,,,,,,,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND blood"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"cd4skin","130",,,,,,,,,,,,,,,,,,,,,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND skin"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"lymphocytes","28410",,,,,,,,,,,,,,,,,,,,,"lymphocytes AND singlets"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"pb_cd4","2184",,,,,,,,,,,,,,,,,,,,,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND NOT(clone) AND blood"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"pb_cd8","3216",,,,,,,,,,,,,,,,,,,,,"cd8 AND viable_cd3 AND lymphocytes AND singlets AND blood"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"singlets","323190",,,,,,,,,,,,,,,,,,,,,"singlets"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"tcrvb_pos_blood","2838",,,,,,,,,,,,,,,,,,,,,"clone AND viable_cd3 AND lymphocytes AND singlets AND NOT(cd8) AND blood"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"til_cd4","126",,,,,,,,,,,,,,,,,,,,,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND NOT(clone) AND skin"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"til_cd8","82",,,,,,,,,,,,,,,,,,,,,"cd8 AND viable_cd3 AND lymphocytes AND singlets AND skin"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"tumour","5",,,,,,,,,,,,,,,,,,,,,"clone AND viable_cd3 AND lymphocytes AND singlets AND NOT(cd8) AND skin"
"panel2","populations","2016_03_24 CTCL004PJ02_panel2 00015954 067",,,,"viable_cd3","8675",,,,,,,,,,,,,,,,,,,,,"viable_cd3 AND lymphocytes AND singlets"
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[pb_cd8]","gal9","Count","All",,,,"0.41","0.45","0.31","0.31",,,,,"0.39",,,,,,,,,,
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[til_cd8]","gal9","Count","All",,,,"0.77","0.80","0.48","0.47",,,,,"0.68",,,,,,,,,,
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[pb_cd4]","gal9","Count","All",,,,"0.44","0.46","0.48","0.34",,,,,"0.40",,,,,,,,,,
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[til_cd4]","gal9","Count","All",,,,"0.72","0.79","1.04","0.52",,,,,"0.65",,,,,,,,,,
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[tumour]","gal9","Count","All",,,,"0.38","0.51","N/A","0.44",,,,,"0.41",,,,,,,,,,
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[tcrvb_pos_blood]","gal9","Count","All",,,,"0.44","0.47","0.42","0.34",,,,,"0.41",,,,,,,,,,
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[cd4blood]","gal9","Count","All",,,,"0.44","0.47","0.48","0.34",,,,,"0.40",,,,,,,,,,
"panel2","expression1","2016_03_24 CTCL004PJ02_panel2 00015954 067","[cd4skin]","gal9","Count","All",,,,"0.70","0.78","1.04","0.52",,,,,"0.64",,,,,,,,,,
